spec_power_1.5,spec_power_3.0,spec_power_6.0,spec_power_12.0,spec_power_24.0,spec_power_48.0,spec_power_96.0,spec_power_192.0,spec_power_384.0,sort,year,siteid,lat,long,epareg,huc8,era,strorder,doc,no3,tn,tp,area,elev,forest,wetland,urban,ag,roads,pop,shrub,precip,k,mg,na,nh4,no2,sio2,so4,tss,turb,ph,cl,ca,anc,al,cond,ansum,catsum,co3,h,oh,dic,hco3,se,zn
0.03525940473659373,0.03592835871994085,0.05447813381215061,0.05935667775486535,0.06842051391102755,0.05279824122281921,0.13864506752004813,0.5912062325592412,0.9604353146327179,11,2008,OWW04440-0650,39.3588435,-75.67549416,3,2040205,Year2008,2nd,6.99,0.24369,1573.0,149.0788,9.556539536,,,,,,,,,,3.403,5.083,10.01,0.467,0.01988,13.839,4.0,24.0,30.8,7.36,17.17,9.866,877.85,0.007,163.05,,,,,,,,,
0.049904773932423124,0.04477058897440661,0.03918335434119437,0.02557536487306812,0.020757584541094446,0.014067154157140528,0.01930575996187392,0.23884230578622925,0.8400617995500825,12,2008,FW08DE013,39.7302915,-75.59800358,3,2040205,Year2008,3rd,3.3,0.21618,1258.0,102.535,15.00949955,50.44,23.81,2.243,68.382,2.489,9.081,1003.897,2.729,,3.019,11.44,23.1,0.01,0.0,10.964,11.02,9.2,20.04,7.68,71.14,23.04,897.82,0.0007,359.91,,,,,,,,,
0.0028716888883816316,0.006974538619671955,0.012877086423161216,0.02148972668330663,0.06556803189191683,0.19794013701252836,0.5118254716253579,0.7289891605654711,0.9811524750693201,14,2008,FW08NV069,41.88666095,-114.6866143,9,17040213,Year2008,6th,2.08,0.0,256.0,41.2581,2341.870117,1986.53,3.931,0.545,0.236,1.105,0.302,0.025,94.164,,8.13,5.129,16.0,0.005,0.0,53.061,12.22,4.6,3.89,8.44,6.29,26.13,2093.62,0.0007,258.87,,,,,,,,,
3.691414650413513e-05,5.1463799857669225e-05,0.0005135587334155891,0.0021302136298394026,0.004746209978697423,0.008098108365978773,0.045082738775040855,0.16389563135654323,0.7608383259295861,18,2008,WNVP99-0576,39.21792949,-117.0595203,9,16060004,Year2008,2nd,0.5,0.13709,168.0,18.155,82.59929657,2554.91,51.293,0.569,0.156,0.0,0.577,0.839,47.781,,1.25,20.74,4.772,0.001,0.0,12.195,39.74,4.1,0.445,8.62,1.98,51.94,3980.48,0.0003,434.3,,,,,,,,,
0.005721747693843544,0.015257884649599911,0.038071830518419045,0.06175131379617542,0.11319387533506525,0.29988674609401694,0.8326572104802855,0.9875315080223097,0.8229486769962174,25,2008,FW08NV014,40.74129868,-115.5543686,9,16040103,Year2008,2nd,1.22,0.19585,293.0,29.761,20.89100075,2424.76,22.185,3.645,5.1,4.859,0.621,21.303,57.466,,1.016,5.009,18.36,0.003,,30.042,12.56,4.0,1.44,8.29,4.26,37.46,2843.04,0.0003,307.6,,,,,,,,,
0.0017872275176552014,0.005354072217718606,0.013007052712468924,0.024159704028367996,0.07610241774521083,0.18644818755301162,0.4558585189243748,0.8163789329601798,0.9479970025153597,27,2008,FW08NV019,40.70240853,-116.5235212,9,16040105,Year2008,7th,2.3,0.0,256.0,23.51,15741.09961,1875.51,5.51,1.7,0.978,2.18,0.426,2.377,89.355,,8.495,12.71,47.24,0.007,0.0,19.387,41.94,9.3,2.77,8.58,21.41,36.91,3518.25,0.0025,490.82,,,,,,,,,
0.0017872275176552014,0.005354072217718606,0.013007052712468924,0.024159704028367996,0.07610241774521083,0.18644818755301162,0.4558585189243748,0.8163789329601798,0.9479970025153597,28,2008,FW08NV019,40.70240853,-116.5235212,9,16040105,Year2008,7th,1.8,0.0,271.0,19.2163,15741.09961,,,,,,,,,,10.12,13.93,54.21,0.005,0.0,28.446,53.03,4.3,5.11,8.63,26.94,38.76,3688.57,0.0049,538.62,,,,,,,,,
0.0019809078001683826,0.004079014370268633,0.008884708328788288,0.027049779524587952,0.08090810344472421,0.12142686297092582,0.2951098533346613,0.6162367970491616,0.9775233573071884,30,2008,FW08NV026,41.3973601,-117.4646693,9,16040109,Year2008,6th,5.12,0.13965,913.0,308.615,2648.439941,1697.73,0.465,0.411,0.061,0.726,0.338,0.006,98.145,,8.902,5.548,45.47,0.015,0.00158,42.34,27.43,124.4,123.0,8.23,21.29,28.07,2761.08,0.0003,388.8,,,,,,,,,
0.0003552208203175177,0.0007431323992082774,0.001521568430505174,0.0022748283036677147,0.006687176614873301,0.00993957856962744,0.00861763204978259,0.16692327869840826,0.8240753163356295,32,2008,FW08NV029,39.21428861,-114.5413454,9,16060008,Year2008,3rd,0.8,0.06962,185.0,36.4075,82.77269745,2703.59,61.844,0.099,0.0,0.0,0.292,0.0,29.37,,0.301,0.759,1.147,0.005,0.0,7.033,1.69,4.2,3.34,7.46,0.39,4.613,313.43,0.0101,38.83,,,,,,,,,
5.6827220818567956e-05,0.0,0.0,0.0,0.0,0.0,0.0017278364334841819,0.10306634587223351,0.7613345341409402,34,2008,FW08NV032,36.6417447,-114.5318165,9,15010012,Year2008,7th,0.92,0.2079,280.0,14.5688,15404.2998,1513.57,19.945,0.274,0.511,0.689,0.239,0.369,77.997,,15.32,45.68,153.5,0.004,0.0,33.046,395.52,50.2,29.6,8.39,103.28,97.22,4584.44,0.0025,1465.0,,,,,,,,,
0.004173355953596419,0.00910731063424068,0.016226053864191917,0.026796527503139718,0.050551318123074694,0.17941650651698918,0.6201001445852755,0.9118774825616044,0.8936922659613121,38,2008,FW08NV037,41.87729618,-115.6285161,9,17050102,Year2008,4th,1.7,0.0053,196.0,35.8325,776.1939697,2065.1,4.343,0.832,0.473,0.029,0.256,0.005,94.307,,1.383,1.469,3.772,0.004,0.0,15.773,3.01,7.8,4.57,7.86,0.73,11.87,835.45,0.0066,98.35,,,,,,,,,
0.00987747756566958,0.012518534741444922,0.020603214675669907,0.032267288208518805,0.04707625735742813,0.1453777662809555,0.5246318793489013,0.8544937041990744,0.9169992347827847,39,2008,FW08NV038,41.9957489,-117.7707249,9,16040201,Year2008,5th,12.01,0.0,786.0,156.95,579.0079956,1793.5,0.501,0.811,0.0,0.039,0.474,0.009,98.534,,3.431,12.81,51.79,0.017,0.0,52.448,22.63,1.7,1.33,8.46,17.63,32.79,3834.79,0.0015,458.7,,,,,,,,,
0.005545045692836298,0.01132660218112594,0.02222725089447943,0.05025696787588191,0.12401018690352601,0.20640911953079452,0.376926484216534,0.692954991693677,0.9644279929067147,41,2008,FW08NV040,39.08215943,-119.7573042,9,16050201,Year2008,5th,5.4,0.00553,519.0,197.6075,1851.920044,2095.9,26.009,2.201,3.065,4.475,0.738,14.309,62.24,,4.808,9.904,26.25,0.016,0.00053,22.633,33.47,6.3,5.8,8.09,9.06,30.02,2374.84,0.0025,327.4,,,,,,,,,
